City_ID,City,Lat,Lng,Max_temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,morro bay,35.3658,-120.8499,77.4,86,84,3.67,US,1662865112
1,tasiilaq,65.6145,-37.6368,34.59,76,75,3.98,GL,1662865114
2,manadhoo,5.7667,73.3833,80.58,82,80,14.12,MV,1662865117
3,jamestown,42.097,-79.2353,66.72,69,0,6.91,US,1662864950
4,rikitea,-23.1203,-134.9692,73.09,70,32,11.97,PF,1662865121
5,cape town,-33.9258,18.4232,56.12,95,75,10.36,ZA,1662865123
6,albany,42.6001,-73.9662,67.46,88,100,1.95,US,1662865125
7,mount pleasant,32.7941,-79.8626,82.0,95,40,1.99,US,1662865023
8,ushuaia,-54.8,-68.3,38.86,56,0,1.14,AR,1662865130
9,puerto ayora,-0.7393,-90.3518,66.54,85,60,4.0,EC,1662865132
10,ilulissat,69.2167,-51.1,42.22,86,100,6.96,GL,1662865134
11,fairbanks,64.8378,-147.7164,53.6,75,100,2.19,US,1662865137
12,opuwo,-18.0607,13.84,63.05,36,0,1.97,NA,1662865139
13,carnarvon,-24.8667,113.6333,72.9,43,0,3.27,AU,1662865091
14,cerro de pasco,-10.6833,-76.2667,37.04,85,58,2.84,PE,1662865143
15,gravdal,68.1214,13.5031,50.2,86,100,4.14,NO,1662865146
16,nikolskoye,59.7035,30.7861,39.87,86,8,3.94,RU,1662865148
17,lagoa,39.05,-27.9833,71.73,79,100,30.24,PT,1662865150
18,souillac,-20.5167,57.5167,68.38,88,40,8.05,MU,1662865153
19,ahipara,-35.1667,173.1667,58.8,78,100,15.12,NZ,1662865155
20,new norfolk,-42.7826,147.0587,55.71,69,89,5.99,AU,1662865160
21,atuona,-9.8,-139.0333,76.98,74,5,19.89,PF,1662865162
22,mahebourg,-20.4081,57.7,69.26,88,40,8.05,MU,1662864909
23,faanui,-16.4833,-151.75,78.48,74,9,18.1,PF,1662865166
24,karaman,37.0833,33.25,60.49,28,0,2.64,TR,1662865169
25,hobart,-42.8794,147.3294,56.05,63,75,19.57,AU,1662865173
26,busselton,-33.65,115.3333,60.51,72,27,6.71,AU,1662865175
27,cairns,-16.9167,145.7667,91.06,56,1,12.66,AU,1662865178
28,arraial do cabo,-22.9661,-42.0278,69.37,93,98,22.17,BR,1662865180
29,mataura,-46.1927,168.8643,56.48,39,0,3.71,NZ,1662865182
30,formosa do rio preto,-11.0483,-45.1931,74.28,38,5,2.48,BR,1662865184
31,butaritari,3.0707,172.7902,81.61,72,10,12.17,KI,1662865187
32,torbay,47.6666,-52.7314,59.58,95,100,37.0,CA,1662865189
33,saint anthony,45.0205,-93.218,61.32,79,0,0.0,US,1662865193
34,kaitangata,-46.2817,169.8464,57.38,63,1,14.56,NZ,1662865196
35,yanliang,34.6592,109.2292,72.59,53,1,6.51,CN,1662865198
36,hermanus,-34.4187,19.2345,57.79,83,98,10.25,ZA,1662865200
37,caravelas,-17.7125,-39.2481,70.36,78,34,8.01,BR,1662865203
38,narsaq,60.9167,-46.05,43.02,73,100,1.59,GL,1662865209
39,punta arenas,-53.15,-70.9167,39.11,71,76,13.58,CL,1662865211
40,saskylakh,71.9167,114.0833,34.63,88,100,14.32,RU,1662865215
41,jegunovce,42.0736,21.1236,57.18,66,19,3.18,MK,1662865218
42,mount gambier,-37.8333,140.7667,52.79,83,100,10.94,AU,1662865223
43,georgetown,5.4112,100.3354,78.73,83,40,2.3,MY,1662865225
44,tuktoyaktuk,69.4541,-133.0374,42.82,78,59,13.49,CA,1662865229
45,bethel,41.3712,-73.414,71.49,75,97,4.0,US,1662865032
46,ilinskiy,55.619,38.1182,41.38,93,20,4.47,RU,1662865234
47,puerto maldonado,-12.6,-69.1833,78.98,62,73,1.23,PE,1662865240
48,yulara,-25.2406,130.9889,70.97,42,2,2.95,AU,1662864993
49,port alfred,-33.5906,26.891,57.18,89,31,4.0,ZA,1662865245
50,vila franca do campo,37.7167,-25.4333,72.01,82,100,19.26,PT,1662865247
51,cidreira,-30.1811,-50.2056,51.67,71,0,8.46,BR,1662865251
52,libertador general san martin,-23.8064,-64.7876,51.98,39,40,3.56,AR,1662865254
53,flin flon,54.7682,-101.865,54.18,51,18,6.73,CA,1662865256
54,adwa,14.1646,38.8955,63.91,66,78,1.79,ET,1662865260
55,coquimbo,-29.9533,-71.3436,55.13,82,100,5.75,CL,1662865058
56,hithadhoo,-0.6,73.0833,81.77,71,100,13.33,MV,1662865265
57,bredasdorp,-34.5322,20.0403,55.27,83,100,9.4,ZA,1662865268
58,axim,4.8699,-2.2405,73.36,90,87,8.3,GH,1662865270
59,pombia,45.653,8.6336,67.14,73,0,6.91,IT,1662865272
60,nanortalik,60.1432,-45.2371,43.52,81,58,8.57,GL,1662865275
61,teya,60.3778,92.6267,45.59,95,100,4.34,RU,1662865277
62,longyearbyen,78.2186,15.6401,33.64,64,75,13.8,SJ,1662865280
63,fukue,32.6881,128.8419,78.37,83,79,12.88,JP,1662865282
64,castro,-24.7911,-50.0119,58.82,98,99,5.28,BR,1662865280
65,bafoulabe,13.8065,-10.8321,71.94,98,100,3.31,ML,1662865287
66,teacapan,22.55,-105.75,81.57,81,73,8.23,MX,1662865289
67,bluff,-46.6,168.3333,57.79,65,0,6.89,NZ,1662865292
68,saint-philippe,-21.3585,55.7679,63.99,71,0,6.96,RE,1662865294
69,nome,64.5011,-165.4064,48.16,78,100,13.06,US,1662865297
70,hilo,19.7297,-155.09,81.25,87,53,4.0,US,1662865301
71,panama city,8.9936,-79.5197,80.44,87,20,5.75,PA,1662865097
72,constitucion,-35.3333,-72.4167,47.25,83,0,3.87,CL,1662865306
73,hofn,64.2539,-15.2082,52.05,90,100,10.18,IS,1662865308
74,lebu,-37.6167,-73.65,47.71,92,9,11.7,CL,1662865310
75,korla,41.7597,86.1469,83.86,18,2,16.84,CN,1662865313
76,praia,14.9215,-23.5087,79.32,82,8,4.29,CV,1662865315
77,katangli,51.7102,143.2326,70.32,62,10,14.29,RU,1662865317
78,chuy,-33.6971,-53.4616,41.56,88,0,5.26,UY,1662865319
79,kruisfontein,-34.0033,24.7314,54.93,75,0,17.56,ZA,1662865322
80,salinopolis,-0.6136,-47.3561,78.85,80,1,10.56,BR,1662865325
81,havoysund,70.9963,24.6622,44.83,90,100,7.61,NO,1662865327
82,batagay-alyta,67.8006,130.4114,43.47,42,100,13.58,RU,1662865332
83,luderitz,-26.6481,15.1594,57.76,67,36,16.98,NA,1662865176
84,fort nelson,58.8053,-122.7002,53.35,41,3,4.74,CA,1662865233
85,east london,-33.0153,27.9116,62.73,76,81,19.01,ZA,1662865338
86,bambous virieux,-20.3428,57.7575,70.05,78,40,10.36,MU,1662865341
87,fortuna,40.5982,-124.1573,65.08,83,100,2.19,US,1662865343
88,khatanga,71.9667,102.5,35.04,94,100,7.9,RU,1662865345
89,comodoro rivadavia,-45.8667,-67.5,51.19,62,9,5.82,AR,1662865348
90,shebunino,46.4339,141.8603,69.33,53,0,8.21,RU,1662865350
91,zelenoborskiy,66.845,32.3622,47.62,90,100,3.53,RU,1662865352
92,petropavlovka,50.6114,105.3196,59.83,46,25,3.53,RU,1662865355
93,klaksvik,62.2266,-6.589,52.72,92,76,20.13,FO,1662865357
94,kodiak,57.79,-152.4072,53.31,88,79,5.73,US,1662865360
95,worpswede,53.2167,8.9333,57.25,96,7,5.64,DE,1662865152
96,port elizabeth,-33.918,25.5701,58.32,89,13,14.0,ZA,1662865364
97,yellowknife,62.456,-114.3525,54.12,58,75,20.71,CA,1662865150
98,canmore,51.0834,-115.3521,60.39,100,0,6.62,CA,1662865230
99,kapaa,22.0752,-159.319,82.09,73,20,10.36,US,1662865372
100,inta,66.0317,60.1659,41.74,92,100,14.41,RU,1662865375
101,lavrentiya,65.5833,-171.0,44.1,83,36,8.12,RU,1662865377
102,iqaluit,63.7506,-68.5145,42.53,93,100,10.36,CA,1662865278
103,berlevag,70.8578,29.0864,44.6,87,100,11.5,NO,1662865382
104,chase,50.8165,-119.6857,69.33,46,0,2.37,CA,1662865384
105,smithers,54.7804,-127.1743,57.88,68,13,4.56,CA,1662865387
106,santa rosa,14.3122,121.1114,87.12,70,100,9.35,PH,1662865389
107,wangaratta,-36.3667,146.3333,55.47,55,15,11.18,AU,1662865391
108,sao filipe,14.8961,-24.4956,78.87,83,4,0.43,CV,1662865394
109,avarua,-21.2078,-159.775,78.85,78,40,17.27,CK,1662865396
110,flinders,-34.5833,150.8552,71.19,38,0,8.99,AU,1662865398
111,airai,-8.9266,125.4092,78.98,32,10,3.0,TL,1662865401
